case,change_id,category,original_text,revised_text,reason_en,reason_zh,golden_evidence
p81,3,ambiguity,"Trucks are stationed at positions such as pos1 in cit1 and pos2 in cit2, corresponding to the packages they need to load initially.","For every integer X from 1 through 14, truck truX and packages objX1, objX2, and objX3 are stationed at posX initially.",Replaces examples and an undefined correspondence with all 56 truck/package placements.,用全部 56 个卡车/包裹位置替换示例和未定义的对应关系。,golden_problem.pddl:228-283: truck/package initial AT atoms
p81,4,missing_rule,"Airplanes, on the other hand, start at specific airports such as apn1 at apt3 in cit3 and apn2 at apt4 in cit4.","Airplanes, on the other hand, start at specific airports: apn1 at apt3 in cit3, apn2 at apt4 in cit4, apn3 at apt8 in cit8, and apn4 at apt4 in cit4.",Removes ‘such as’ and adds the two omitted airplane starts.,删除“例如”并补充两个遗漏的飞机初始位置。,"golden_problem.pddl:224-227: (AT APN1 APT3), (AT APN2 APT4), (AT APN3 APT8), (AT APN4 APT4)"
p81,5,contradiction,each package,the packages listed below,Restricts the stated goal to the 40 packages in the golden conjunction rather than implying goals for all 42 packages.,把目标限定为黄金合取式中的 40 个包裹，避免暗示全部 42 个包裹都有目标。,golden_problem.pddl:313-354: 40-atom goal conjunction
p81,6,irregular_mapping,"The main objectives include moving obj52 to pos7, obj142 to apt4, and obj42 to pos10 among others. Each package's final destination is clearly defined, such as obj11 going to apt5 and obj123 to pos7.",The main objectives are to move obj52 to pos7; obj142 to apt4; obj42 to pos10; obj11 to apt5; obj123 to pos7; obj33 to pos4; obj112 to apt14; obj113 to apt8; obj61 to apt8; obj73 to apt5; obj132 to apt12; obj111 to pos11; obj103 to apt11; obj51 to apt3; obj122 to pos10; obj31 to pos7; obj72 to apt11; obj131 to apt13; obj91 to apt8; obj13 to apt11; obj41 to apt14; obj102 to pos13; obj12 to apt9; obj23 to pos12; obj83 to apt4; obj62 to apt4; obj81 to apt8; obj92 to apt13; obj43 to apt7; obj143 to pos4; obj82 to apt11; obj32 to apt13; obj133 to apt3; obj71 to pos9; obj63 to apt1; obj21 to pos1; obj93 to apt4; obj141 to pos9; obj53 to pos1; and obj101 to pos13.,Replaces five examples and vague continuation with all 40 irregular goal pairs.,用全部 40 个不规则目标对替换五个示例和模糊续写。,golden_problem.pddl:314-353: complete goal atom list
p81,7,contradiction,optimizing,selecting,Removes an unsupported optimization criterion.,删除无支持的优化标准。,golden_problem.pddl:313-354: goal conjunction has no metric
p81,8,contradiction,each package,each listed package,Prevents the closing sentence from implying goals for the two packages absent from the goal conjunction.,防止结尾句暗示目标合取式中未出现的两个包裹也有目标。,golden_problem.pddl:313-354: exact goal scope
p81,9,contradiction,efficiently,,Deletes a second unsupported optimization implication.,删除第二处无支持的优化含义。,golden_problem.pddl:313-354: no optimization metric
p81,10,ambiguity,such as trucks and airplanes,namely trucks and airplanes,Closes the vehicle-mode inventory instead of implying additional unnamed modes.,封闭交通方式清单，避免暗示其他未命名方式。,"golden_problem.pddl:7,11,15,22,29,36,40,44,51,58,65,69,73,80,87,94,98,102: complete truck and airplane object inventory"
p81,11,ambiguity,various locations,the specified locations,Makes the overview refer forward to the exact bounded location rules rather than a vague set.,使概述指向后文精确的有界地点规则，而非模糊集合。,golden_problem.pddl:178-219: complete location and airport inventories
p82,1,ambiguity,"This pattern continues up to packages obj141, obj142, and obj143 at location pos14 with truck tru14.","For every integer X from 1 through 14, truck truX and packages objX1, objX2, and objX3 are initially at posX, where X is replaced by the same decimal numeral in every identifier (so X = 10 yields tru10, obj101, obj102, obj103, and pos10).",Replaces an undefined continuation with the exact object construction and all 56 truck/package placements.,用精确的对象构造和全部 56 个卡车/包裹位置替换未定义的续写。,"golden_problem.pddl:8-10,16-18,23-25,30-32,37-39,45-47,52-54,59-61,66-68,74-76,81-83,88-90,95-97,103-105: package objects | golden_problem.pddl:150-163: trucks | golden_problem.pddl:228-283: placements"
p82,2,ambiguity,"Each location is associated with a specific city, so pos1 and airport apt1 are in city cit1, pos2 and airport apt2 are in city cit2, and so forth, up to pos14 and airport apt14 in city cit14.","For every integer X from 1 through 14, posX is a location in citX and aptX is an airport location in citX.",Replaces ‘and so forth’ with the complete bounded location/type/city rule.,用完整的有界地点、类型和城市规则替换“等等”。,"golden_problem.pddl:164-219: CITY, LOCATION, AIRPORT atoms | golden_problem.pddl:284-311: IN-CITY atoms"
p82,3,contradiction,Our objective is to transport these packages to new destinations.,Our objective is for the packages listed below to reach their target destinations.,Restricts the goal to the listed conjunction and avoids claiming that goal atoms already true initially require new destinations.,把目标限定为列出的合取式，并避免声称初始时已经成立的目标原子必须是新目的地。,golden_problem.pddl:313-355: exact 41-atom goal conjunction | golden_problem.pddl:250 and 323: OBJ62 is initially and finally at POS6 | golden_problem.pddl:269 and 348: OBJ111 is initially and finally at POS11
p82,4,irregular_mapping,"Specifically, we want obj52 at airport apt13, obj101 at airport apt10, obj42 at location apt11, obj83 at pos14, obj143 at pos11, obj91 at pos5, obj41 at apt14, and continue this relocation for all listed packages.","Specifically, we want obj52 at apt13; obj101 at apt10; obj42 at apt11; obj83 at pos14; obj143 at pos11; obj91 at pos5; obj41 at apt14; obj22 at apt12; obj131 at apt12; obj62 at pos6; obj71 at apt13; obj141 at apt9; obj61 at pos13; obj13 at pos3; obj82 at pos14; obj63 at pos13; obj11 at apt3; obj102 at pos14; obj123 at apt12; obj12 at apt10; obj21 at apt11; obj72 at apt2; obj122 at apt10; obj121 at pos6; obj92 at pos12; obj103 at apt3; obj43 at pos3; obj73 at pos14; obj53 at apt9; obj133 at pos10; obj23 at apt4; obj31 at pos11; obj81 at pos13; obj132 at pos2; obj111 at pos11; obj113 at pos6; obj93 at pos1; obj32 at pos10; obj142 at pos12; obj112 at apt1; and obj51 at apt14.",Replaces seven examples and vague continuation with all 41 irregular goal pairs.,用全部 41 个不规则目标对替换七个示例和模糊续写。,golden_problem.pddl:314-354: complete goal atom list
p82,5,contradiction,Each package has a specific new target location,Each listed package has a specific target location,Limits the claim to the 41 listed packages and removes ‘new’ because two golden goals equal their initial locations.,把表述限定为列出的 41 个包裹，并删除“新”，因为两个黄金目标与其初始位置相同。,"golden_problem.pddl:313-355: exact goal scope | golden_problem.pddl:250,269,323,348: unchanged OBJ62 and OBJ111 locations"
p85,1,missing_rule,City 6 through City 1 are home to Truck 6 to Truck 1 respectively.,Truck 6 through Truck 1 are initially at the normal locations of City 6 through City 1 respectively.,The original paired trucks with cities but did not uniquely state the six initial truck locations.,原文只把卡车与城市配对，却没有唯一说明六辆卡车的初始地点。,golden_problem.pddl:lines 20-25: truck type atoms | golden_problem.pddl:lines 60-65: (AT TRUCKi CITYi-1) for i=6..1
p85,2,ambiguity,There are two airplanes initially stationed at the airport in City 4.,"There are two airplanes, Plane 2 and Plane 1, initially stationed at the airport in City 4.","Two airplanes were counted and located but not individually named, so Plane 1 and Plane 2 were not recoverable as distinct objects.",原文只说明两架飞机及其位置，却未逐一命名，因此无法恢复飞机 1 和飞机 2 这两个独立对象。,golden_problem.pddl:line 5: plane2 and plane1 objects | golden_problem.pddl:lines 26-27: airplane type atoms | golden_problem.pddl:lines 58-59: both airplanes at city4-2
p87,1,missing_rule,Locations within these cities include designated areas (like city3-2 and city2-1) and airports (such as city1-3 and city2-3).,"For each integer i from 1 through 3, the locations cityi-1, cityi-2, and cityi-3 are formed by concatenating city, i, and respectively -1, -2, and -3; all three locations are in cityi, and cityi-3 is an airport.","Examples did not enumerate or deterministically construct all nine locations, three airports, and nine in-city facts.",示例不能枚举或确定性构造全部九个地点、三个机场以及九个地点—城市关系。,"golden_problem.pddl:lines 8-9: nine location objects | golden_problem.pddl:lines 49-69: location, airport, and in-city atoms"
p87,2,ambiguity,"Initially, the airplanes are positioned as follows: plane6 is at city2-3, plane5 and plane1 are both stationed at city1-3, and planes 4, 3, and 2 are at city3-3 or city2-3.","Initially, the airplanes are positioned as follows: plane6 is at city2-3, plane5 and plane1 are both stationed at city1-3, plane4 is at city3-3, and plane3 and plane2 are at city2-3.","The disjunction left the initial locations of Plane 4, Plane 3, and Plane 2 unresolved.",析取表达使飞机 4、飞机 3 和飞机 2 的初始位置无法确定。,golden_problem.pddl:lines 70-75: all six airplane initial locations
p87,3,irregular_mapping,"Regarding trucks: truck22 is at city3-2, trucks like truck21 and truck16 are at various city2 locations, whereas trucks 20, 18, and 13 are spread across city1 locations, and several others are in use around city3.","Regarding trucks: truck22 and truck4 are at city3-2; truck21 and truck16 are at city2-1; truck20, truck18, and truck13 are at city1-2; truck19, truck15, truck9, truck7, truck6, truck5, and truck1 are at city2-3; truck17, truck14, truck12, and truck3 are at city2-2; truck11 and truck8 are at city3-3; truck10 is at city3-1; and truck2 is at city1-1.",Vague examples and regional descriptions did not uniquely support 21 of the 22 irregular truck locations.,模糊示例和区域性描述无法唯一支持 22 个不规则卡车位置中的 21 个。,golden_problem.pddl:lines 76-97: all 22 truck initial locations
p87,4,irregular_mapping,"Packages are spread across the cities too: for example, package8 is at city1-2, package7 is at city2-1, package6 is at city3-2, and package5 and package1 both start at city1-3.",Packages are spread across the cities too: package8 is at city1-2; package7 is at city2-1; package6 and package2 are at city3-2; package5 and package1 are at city1-3; package4 is at city3-3; and package3 is at city2-2.,"The example-only sentence omitted the initial locations of Package 4, Package 3, and Package 2.",仅含示例的句子遗漏了包裹 4、包裹 3 和包裹 2 的初始位置。,golden_problem.pddl:lines 98-105: all eight package initial locations
p89,1,missing_rule,"Each city has specific locations, including some designated as airports.","For each city index X from 1 to 29 and location index Y from 1 to 4, cityX-Y is a location in cityX, and cityX-4 is an airport.","Defines the complete 29-by-4 location family, city correspondence, and airport suffix.",定义完整的 29×4 地点族、城市对应关系和机场后缀。,"golden_problem.pddl:lines 14-31: all location objects | golden_problem.pddl:lines 122-382: location, airport, and in-city atoms"
p89,2,irregular_mapping,"Currently, the planes and trucks are parked at specific city locations, and packages are scattered across different places. For example, package 23 is currently located at city 26, location 2, while package 22 is at city 1, location 1.","Currently, the planes are parked as follows: plane9 is at city28-4; plane8 is at city23-4; plane7 is at city27-4; plane6 is at city29-4; plane5 is at city13-4; plane4 is at city4-4; plane3 is at city14-4; plane2 is at city14-4; plane1 is at city13-4. The trucks are parked as follows: truck29 is at city29-1; truck28 is at city28-2; truck27 is at city27-3; truck26 is at city26-1; truck25 is at city25-2; truck24 is at city24-3; truck23 is at city23-3; truck22 is at city22-3; truck21 is at city21-1; truck20 is at city20-1; truck19 is at city19-3; truck18 is at city18-2; truck17 is at city17-3; truck16 is at city16-2; truck15 is at city15-3; truck14 is at city14-3; truck13 is at city13-2; truck12 is at city12-3; truck11 is at city11-1; truck10 is at city10-2; truck9 is at city9-3; truck8 is at city8-2; truck7 is at city7-3; truck6 is at city6-3; truck5 is at city5-3; truck4 is at city4-2; truck3 is at city3-2; truck2 is at city2-3; truck1 is at city1-1. The packages are located as follows: package23 is at city26-2; package22 is at city1-1; package21 is at city3-1; package20 is at city18-2; package19 is at city17-2; package18 is at city21-1; package17 is at city1-4; package16 is at city29-4; package15 is at city1-2; package14 is at city4-4; package13 is at city10-1; package12 is at city13-1; package11 is at city24-3; package10 is at city5-4; package9 is at city9-4; package8 is at city3-4; package7 is at city13-1; package6 is at city7-3; package5 is at city16-1; package4 is at city3-2; package3 is at city17-1; package2 is at city11-1; package1 is at city21-4.","Replaces two package examples and unspecified vehicle placements with every irregular airplane, truck, and package initial location.",用全部不规则的飞机、卡车和包裹初始位置替换两个包裹示例和未指定的车辆位置。,golden_problem.pddl:lines 383-443: all 61 initial (AT ...) atoms
p89,3,contradiction,Your task is to efficiently coordinate the movement of vehicles and packages to achieve this desired outcome.,All eight listed package destinations must hold simultaneously.,Removes the unsupported efficiency objective and explicitly states the eight-way goal conjunction.,删除未受支持的效率目标，并明确八个目标同时成立。,golden_problem.pddl:lines 444-451: conjunctive eight-atom goal
p91,1,contradiction,"Specifically, package23 through package1 are scattered across distinct locations.","Specifically, the initial package locations are: package23 is at city1-5; package22 is at city1-5; package21 is at city2-4; package20 is at city2-3; package19 is at city1-2; package18 is at city3-3; package17 is at city2-3; package16 is at city3-5; package15 is at city2-2; package14 is at city2-1; package13 is at city3-4; package12 is at city1-6; package11 is at city1-4; package10 is at city3-3; package9 is at city3-3; package8 is at city1-2; package7 is at city1-4; package6 is at city1-4; package5 is at city3-1; package4 is at city2-1; package3 is at city1-5; package2 is at city3-3; package1 is at city1-2.",Replaces the false claim that all packages occupy distinct locations with the complete irregular initial package mapping.,用完整的不规则包裹初始映射替换所有包裹位于不同地点的错误说法。,golden_problem.pddl:lines 101-123: all package (AT ...) atoms
p91,2,missing_rule,"We have three major city hubs: city1, city2, and city3, each with various locations and airports within them.","We have three major city hubs: city1, city2, and city3; for each city index X from 1 to 3 and location index Y from 1 to 6, cityX-Y is a location in cityX, and cityX-6 is an airport.","Defines all 18 location identifiers, their cities, and the -6 airport suffix.",定义全部 18 个地点标识符、所属城市和 -6 机场后缀。,"golden_problem.pddl:lines 8-11: location objects | golden_problem.pddl:lines 50-88: location, airport, and in-city atoms"
p91,3,irregular_mapping,Each vehicle is stationed at specific locations within these cities.,The airplanes are stationed as follows: plane7 is at city1-6; plane6 is at city2-6; plane5 is at city1-6; plane4 is at city1-6; plane3 is at city3-6; plane2 is at city1-6; plane1 is at city2-6. The trucks are stationed as follows: truck5 is at city3-4; truck4 is at city2-3; truck3 is at city1-5; truck2 is at city1-3; truck1 is at city1-6.,Expands unspecified vehicle positions into all seven airplane and five truck locations.,将未指定的车辆位置展开为七架飞机和五辆卡车的全部位置。,golden_problem.pddl:lines 89-100: vehicle (AT ...) atoms
p91,4,irregular_mapping,"For example, package23 needs to be transported to city2-3, while package22 should remain at city1-5. Other packages need to be carefully placed according to the requirements, such as transferring package21 to city1-6 and package20 to city1-1. Our end goal is to ensure all specified packages are accurately positioned at their respective target locations, thus completing the logistics challenge.",The required package destinations are: package23 must be at city2-3; package22 must be at city1-5; package21 must be at city1-6; package20 must be at city1-1; package19 must be at city1-3; package18 must be at city1-3; package17 must be at city1-5; package16 must be at city1-1; package15 must be at city3-3; package14 must be at city1-5; package13 must be at city2-5; package12 must be at city3-2; package11 must be at city2-6; package10 must be at city1-6. All 14 listed package destinations must hold simultaneously.,"Replaces four examples and vague remaining requirements with the complete irregular 14-atom goal, excluding nine packages with no golden goal.",用完整的不规则 14 原子目标替换四个示例和模糊剩余要求，并排除没有黄金目标的九个包裹。,golden_problem.pddl:lines 124-137: conjunctive 14-atom goal
p92,1,missing_rule,"Each city contains multiple locations, including airports.","For each city index X from 1 to 11 and location index Y from 1 to 3, cityX-Y is a location in cityX, and cityX-3 is an airport.","Defines the complete 11-by-3 location family, city correspondence, and airport suffix.",定义完整的 11×3 地点族、城市对应关系和机场后缀。,"golden_problem.pddl:lines 14-18: location objects | golden_problem.pddl:lines 102-178: location, airport, and in-city atoms"
p92,2,irregular_mapping,"The trucks and planes are stationed at specific locations within these cities at the start of the game. For example, plane1 is at airport city6-3, and truck1 is at city5-2.","Initially, the airplanes are stationed as follows: plane13 is at city10-3; plane12 is at city5-3; plane11 is at city11-3; plane10 is at city1-3; plane9 is at city9-3; plane8 is at city7-3; plane7 is at city1-3; plane6 is at city8-3; plane5 is at city7-3; plane4 is at city9-3; plane3 is at city1-3; plane2 is at city11-3; plane1 is at city6-3. The trucks are stationed as follows: truck52 is at city11-2; truck51 is at city10-1; truck50 is at city9-2; truck49 is at city8-1; truck48 is at city7-1; truck47 is at city6-1; truck46 is at city5-2; truck45 is at city4-1; truck44 is at city3-2; truck43 is at city2-2; truck42 is at city1-2; truck41 is at city7-2; truck40 is at city6-1; truck39 is at city2-3; truck38 is at city3-1; truck37 is at city2-3; truck36 is at city7-1; truck35 is at city8-2; truck34 is at city8-2; truck33 is at city7-2; truck32 is at city6-3; truck31 is at city2-2; truck30 is at city11-3; truck29 is at city1-2; truck28 is at city3-1; truck27 is at city9-2; truck26 is at city7-2; truck25 is at city1-3; truck24 is at city4-1; truck23 is at city9-2; truck22 is at city3-1; truck21 is at city1-1; truck20 is at city7-3; truck19 is at city4-3; truck18 is at city1-1; truck17 is at city4-3; truck16 is at city11-3; truck15 is at city6-2; truck14 is at city5-3; truck13 is at city5-1; truck12 is at city8-1; truck11 is at city8-1; truck10 is at city5-2; truck9 is at city8-3; truck8 is at city1-1; truck7 is at city8-2; truck6 is at city9-3; truck5 is at city10-2; truck4 is at city6-3; truck3 is at city11-1; truck2 is at city5-3; truck1 is at city5-2.",Replaces one plane and one truck example with all 13 airplane and 52 truck initial locations.,用全部 13 架飞机和 52 辆卡车的初始位置替换一个飞机和一个卡车示例。,golden_problem.pddl:lines 179-243: vehicle (AT ...) atoms
p92,3,irregular_mapping,"The packages are spread out in various locations as well; for instance, package1, package2, and package3 are all at city7-2, while package7 starts at city4-2.",The initial package locations are: package7 is at city4-2; package6 is at city4-1; package5 is at city11-2; package4 is at city2-2; package3 is at city7-2; package2 is at city7-2; package1 is at city7-2.,Replaces four package examples with the complete seven-package initial mapping.,用完整的七包裹初始映射替换四个包裹示例。,golden_problem.pddl:lines 244-250: package (AT ...) atoms
p92,4,contradiction,"By using the available trucks and airplanes strategically, each package must reach its destination safely and efficiently.",All seven listed package destinations must hold simultaneously.,Removes unsupported safety and efficiency objectives and makes the seven-way goal conjunction explicit.,删除未受支持的安全和效率目标，并明确七个目标同时成立。,golden_problem.pddl:lines 251-257: conjunctive seven-atom goal
p96,1,missing_rule,Each city has its corresponding trucks located at the general area.,"For each integer i from 1 through 10, trucki is initially located at the general area of cityi, where each occurrence of i is replaced by the same integer.",The undefined word 'corresponding' did not uniquely pair the ten trucks with the ten cities' general locations.,未定义的“对应”一词没有唯一地将十辆卡车与十座城市的普通地点配对。,golden_problem.pddl:lines 25-34: (TRUCK TRUCK10) through (TRUCK TRUCK1) | golden_problem.pddl:lines 93-102: (AT TRUCKi CITYi-1) for i=10..1
p97,1,missing_rule,"Each city has distinct locations, with city1 having locations city1-1 and city1-2, city2 having city2-1 and city2-2, and city3 containing city3-1 and city3-2.","Each city has distinct locations, with city1 having locations city1-1 and city1-2, city2 having city2-1 and city2-2, and city3 containing city3-1 and city3-2; city1-2, city2-2, and city3-2 are the airports.",Adds only the two missing airport classifications while retaining the complete city/location enumeration.,仅补充两个缺失的机场分类，并保留完整的城市/地点枚举。,golden_problem.pddl:line 30: (AIRPORT CITY3-2) | golden_problem.pddl:line 32: (AIRPORT CITY2-2) | golden_problem.pddl:line 34: (AIRPORT CITY1-2)
p98,1,ambiguity,"Each city contains specific locations that may serve as destinations for the packages: locations such as cityX-1, cityX-2 for standard locations, and cityX-3 for airports, where 'X' corresponds to the city number.","Each city contains specific locations that may serve as destinations for the packages: locations cityX-1 and cityX-2, and the airport cityX-3, where 'X' corresponds to the city number.",Removes the open-ended “such as” wording and states the exact three-location suffix schema.,删除开放式的“例如”措辞，并明确精确的三地点后缀模式。,"golden_problem.pddl:lines 6-8: exact location objects | golden_problem.pddl:lines 36-70: location, airport, and in-city atoms"
p98,2,contradiction,Our task is to use the available vehicles to achieve these delivery goals efficiently.,All six listed package destinations must hold simultaneously.,Removes the unsupported efficiency objective and explicitly states the six-way goal conjunction.,删除未受支持的效率目标，并明确六个目标同时成立。,golden_problem.pddl:lines 93-98: conjunctive six-atom goal
